Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Review,Price,Offer,Rating,Price_In_Thousands,Price_Category,Processor_Brand,Processor_Types,Has_Offer,Value_for_Money
Asus,X1,13Th Gen,32,512,Blue,1.99,AMD Ryzen 3,508,65533,18.55,4.4,65.533,Mid-Range,AMD,Ryzen 3,1,14893.863636363636
Asus,14,11Th Gen,12,1024,White,1.68,AMD Ryzen 7,209,190622,40.45,4.9,190.622,Premium,AMD,Ryzen 7,1,38902.448979591834
Hp,Vivobook,10Th Gen,16,1024,Silver,1.72,Intel Core I3,771,168754,25.89,3.5,168.754,Premium,Intel,i3,1,48215.42857142857
Asus,16,11Th Gen,16,512,Silver,2.63,Intel Core I5,703,119000,32.55,2.6,119.0,Premium,Intel,i5,1,45769.230769230766
Asus,Vivobook,12Th Gen,4,256,Grey,2.24,AMD Ryzen 7,732,160167,9.74,4.9,160.167,Premium,AMD,Ryzen 7,1,32687.142857142855
Lenovo,Inspiron,10Th Gen,32,512,Black,1.37,AMD Ryzen 7,882,113255,47.68,3.5,113.255,Premium,AMD,Ryzen 7,1,32358.571428571428
Asus,X1,11Th Gen,8,512,Blue,2.24,AMD Ryzen 5,359,90427,18.19,3.1,90.427,Premium,AMD,Ryzen 5,1,29170.0
Hp,X1,13Th Gen,8,1024,Black,2.14,AMD Ryzen 3,426,62589,25.4,2.6,62.589,Mid-Range,AMD,Ryzen 3,1,24072.69230769231
Hp,Inspiron,10Th Gen,16,512,Blue,1.54,Intel Core I3,554,37720,12.53,3.8,37.72,Budget,Intel,i3,1,9926.315789473685
Lenovo,Inspiron,12Th Gen,4,512,Black,2.26,Intel Core I7,246,145384,19.58,3.2,145.384,Premium,Intel,i7,1,45432.5
Acer,Inspiron,12Th Gen,8,1024,Grey,1.47,AMD Ryzen 3,195,159451,22.415,4.4,159.451,Premium,AMD,Ryzen 3,1,36238.86363636363
Acer,16,13Th Gen,32,512,Blue,1.52,Intel Core I7,158,75365,29.96,4.7,75.365,Mid-Range,Intel,i7,1,16035.106382978724
Dell,Vivobook,11Th Gen,12,256,Silver,2.18,Intel Core I3,282,21611,45.25,3.6,21.611,Budget,Intel,i3,1,6003.055555555556
Hp,15,11Th Gen,12,256,White,2.49,AMD Ryzen 7,841,23573,24.130000000000003,3.0,23.573,Budget,AMD,Ryzen 7,1,7857.666666666667
Dell,16,11Th Gen,4,1024,Blue,1.71,AMD Ryzen 5,956,93510,31.44,4.9,93.51,Premium,AMD,Ryzen 5,1,19083.673469387755
Lenovo,15,10Th Gen,8,256,Blue,1.7,Intel Core I7,916,26628,22.8,3.3,26.628,Budget,Intel,i7,1,8069.09090909091
Asus,Vivobook,12Th Gen,32,512,Grey,1.73,Intel Core I3,615,145972,39.99,3.3,145.972,Premium,Intel,i3,1,44233.9393939394
Dell,14,12Th Gen,4,256,Blue,1.99,AMD Ryzen 3,363,152645,23.725,4.7,152.645,Premium,AMD,Ryzen 3,1,32477.659574468085
Hp,14,11Th Gen,8,512,Blue,2.36,Intel Core I3,840,132413,14.06,2.5,132.413,Premium,Intel,i3,1,52965.2
Asus,14,12Th Gen,8,512,White,2.86,AMD Ryzen 7,686,26921,29.33,4.1,26.921,Budget,AMD,Ryzen 7,1,6566.097560975611
Asus,Vivobook,12Th Gen,16,512,Silver,2.94,AMD Ryzen 7,537,87533,2.07,2.6,87.533,Premium,AMD,Ryzen 7,1,33666.53846153846
Asus,Inspiron,11Th Gen,32,512,White,2.07,AMD Ryzen 5,682,198574,23.8,3.7,198.574,Premium,AMD,Ryzen 5,1,53668.64864864865
Acer,Vivobook,10Th Gen,16,256,Silver,2.21,Intel Core I7,212,82344,27.48,4.2,82.344,Premium,Intel,i7,1,19605.714285714286
Lenovo,16,11Th Gen,32,256,Black,2.43,AMD Ryzen 3,505,57854,27.5,3.8,57.854,Mid-Range,AMD,Ryzen 3,1,15224.736842105263
Asus,X1,10Th Gen,12,256,Silver,1.6,AMD Ryzen 5,833,195153,24.84,3.7,195.153,Premium,AMD,Ryzen 5,1,52744.05405405405
Hp,X1,11Th Gen,12,1024,White,2.0,AMD Ryzen 7,680,109244,30.62,2.9,109.244,Premium,AMD,Ryzen 7,1,37670.34482758621
Dell,14,10Th Gen,32,1024,Silver,2.32,Intel Core I3,911,174419,34.06,4.9,174.419,Premium,Intel,i3,1,35595.71428571428
Asus,15,11Th Gen,16,256,Grey,2.06,Intel Core I3,941,186293,22.39,4.7,186.293,Premium,Intel,i3,1,39636.80851063829
Lenovo,Inspiron,10Th Gen,4,1024,Grey,2.14,AMD Ryzen 3,626,104474,27.229999999999997,4.1,104.474,Premium,AMD,Ryzen 3,1,25481.46341463415
Dell,Vivobook,12Th Gen,32,512,White,1.96,AMD Ryzen 5,567,55603,19.78,3.7,55.603,Mid-Range,AMD,Ryzen 5,1,15027.837837837837
Acer,X1,13Th Gen,16,256,Blue,2.35,Intel Core I7,607,107471,3.88,3.9,107.471,Premium,Intel,i7,1,27556.666666666668
Asus,Inspiron,12Th Gen,32,256,Grey,1.4,AMD Ryzen 5,507,120765,29.23,4.5,120.765,Premium,AMD,Ryzen 5,1,26836.666666666668
Hp,X1,10Th Gen,32,256,Black,1.21,Intel Core I3,335,31205,25.77,2.6,31.205,Budget,Intel,i3,1,12001.923076923076
Dell,Vivobook,13Th Gen,32,1024,Blue,1.86,AMD Ryzen 5,449,34179,24.424999999999997,3.0,34.179,Budget,AMD,Ryzen 5,1,11393.0
Dell,14,10Th Gen,12,512,Grey,2.95,AMD Ryzen 7,536,113046,8.49,4.9,113.046,Premium,AMD,Ryzen 7,1,23070.61224489796
Dell,Vivobook,12Th Gen,16,1024,Blue,1.54,Intel Core I5,540,146402,24.57,4.4,146.402,Premium,Intel,i5,1,33273.181818181816
Hp,14,12Th Gen,8,1024,Silver,2.87,AMD Ryzen 7,280,147594,28.125,2.7,147.594,Premium,AMD,Ryzen 7,1,54664.44444444444
Asus,Vivobook,12Th Gen,4,1024,Grey,1.23,AMD Ryzen 3,778,168900,28.81,3.6,168.9,Premium,AMD,Ryzen 3,1,46916.666666666664
Lenovo,X1,12Th Gen,16,256,White,1.4,AMD Ryzen 7,492,129837,20.63,2.8,129.837,Premium,AMD,Ryzen 7,1,46370.357142857145
Acer,14,10Th Gen,32,1024,Grey,1.49,AMD Ryzen 5,588,149137,21.62,3.3,149.137,Premium,AMD,Ryzen 5,1,45193.030303030304
Lenovo,Vivobook,12Th Gen,4,256,Blue,1.72,Intel Core I5,505,46752,19.58,3.8,46.752,Mid-Range,Intel,i5,1,12303.157894736843
Lenovo,15,11Th Gen,8,256,White,1.54,AMD Ryzen 5,243,29417,23.19,4.0,29.417,Budget,AMD,Ryzen 5,1,7354.25
Asus,14,12Th Gen,8,512,Blue,2.4,AMD Ryzen 3,585,127087,34.04,2.8,127.087,Premium,AMD,Ryzen 3,1,45388.21428571429
Asus,Vivobook,13Th Gen,12,1024,Blue,1.82,AMD Ryzen 5,776,30841,27.14,3.8,30.841,Budget,AMD,Ryzen 5,1,8116.0526315789475
Lenovo,14,10Th Gen,8,256,Black,1.57,AMD Ryzen 7,592,147736,22.8,3.4,147.736,Premium,AMD,Ryzen 7,1,43451.76470588236
Hp,X1,13Th Gen,12,512,Blue,2.99,Intel Core I3,457,128796,12.67,4.6,128.796,Premium,Intel,i3,1,27999.13043478261
Asus,Vivobook,11Th Gen,12,512,Silver,1.76,Intel Core I3,798,120050,49.45,4.7,120.05,Premium,Intel,i3,1,25542.55319148936
Dell,Inspiron,11Th Gen,8,256,Blue,2.22,AMD Ryzen 3,470,31237,16.65,2.9,31.237,Budget,AMD,Ryzen 3,1,10771.379310344828
Asus,Inspiron,12Th Gen,16,512,White,2.64,AMD Ryzen 7,707,72210,18.32,3.1,72.21,Mid-Range,AMD,Ryzen 7,1,23293.548387096773
Asus,Inspiron,11Th Gen,4,256,Grey,1.98,Intel Core I7,599,124092,33.7,4.8,124.092,Premium,Intel,i7,1,25852.5
Hp,X1,13Th Gen,32,512,Black,2.33,Intel Core I7,457,81906,27.21,4.6,81.906,Premium,Intel,i7,1,17805.652173913044
Dell,16,10Th Gen,8,1024,White,1.75,Intel Core I7,463,87442,30.45,2.8,87.442,Premium,Intel,i7,1,31229.285714285717
Dell,Vivobook,11Th Gen,8,512,White,2.58,AMD Ryzen 3,477,151230,0.4,4.1,151.23,Premium,AMD,Ryzen 3,1,36885.36585365854
Dell,14,12Th Gen,16,512,Silver,1.33,AMD Ryzen 5,470,161552,24.57,2.9,161.552,Premium,AMD,Ryzen 5,1,55707.58620689655
Dell,15,11Th Gen,12,256,Black,2.78,AMD Ryzen 5,540,197389,29.52,4.4,197.389,Premium,AMD,Ryzen 5,1,44861.13636363636
Acer,14,11Th Gen,8,256,Black,2.58,Intel Core I7,654,27948,19.94,4.9,27.948,Budget,Intel,i7,1,5703.673469387754
Asus,Inspiron,13Th Gen,4,256,Grey,1.66,AMD Ryzen 7,948,145797,35.15,4.1,145.797,Premium,AMD,Ryzen 7,1,35560.243902439026
Asus,14,12Th Gen,32,256,White,1.8,AMD Ryzen 5,907,100109,29.23,4.3,100.109,Premium,AMD,Ryzen 5,1,23281.162790697676
Dell,16,13Th Gen,16,256,White,2.1,Intel Core I3,559,188106,25.865000000000002,3.9,188.106,Premium,Intel,i3,1,48232.307692307695
Acer,14,10Th Gen,8,512,Blue,2.65,AMD Ryzen 7,354,181253,28.34,4.3,181.253,Premium,AMD,Ryzen 7,1,42151.86046511628
Hp,16,12Th Gen,32,1024,Grey,1.94,Intel Core I3,832,70273,0.45,2.7,70.273,Mid-Range,Intel,i3,1,26027.037037037036
Dell,15,10Th Gen,16,1024,Black,2.74,AMD Ryzen 3,565,134153,18.65,2.6,134.153,Premium,AMD,Ryzen 3,1,51597.30769230769
Hp,15,11Th Gen,8,512,Black,2.78,AMD Ryzen 5,376,169520,24.66,3.6,169.52,Premium,AMD,Ryzen 5,1,47088.88888888889
Acer,X1,13Th Gen,8,1024,Silver,1.35,Intel Core I3,574,57831,28.02,3.6,57.831,Mid-Range,Intel,i3,1,16064.166666666666
Lenovo,Inspiron,11Th Gen,12,1024,Silver,1.93,Intel Core I3,542,177805,6.99,2.6,177.805,Premium,Intel,i3,1,68386.53846153845
Hp,Inspiron,12Th Gen,8,1024,White,1.58,Intel Core I3,634,37107,43.4,4.2,37.107,Budget,Intel,i3,1,8835.0
Acer,15,11Th Gen,8,1024,Blue,1.89,Intel Core I5,552,184951,3.68,4.7,184.951,Premium,Intel,i5,1,39351.27659574468
Acer,14,10Th Gen,8,256,Silver,1.25,Intel Core I3,487,130334,28.34,4.2,130.334,Premium,Intel,i3,1,31031.90476190476
Dell,14,12Th Gen,8,256,White,2.41,Intel Core I7,918,192647,20.24,3.5,192.647,Premium,Intel,i7,1,55042.0
Lenovo,15,13Th Gen,4,256,White,1.55,AMD Ryzen 3,588,175675,22.76,3.9,175.675,Premium,AMD,Ryzen 3,1,45044.8717948718
Dell,15,10Th Gen,32,512,Silver,2.72,Intel Core I5,532,74935,21.04,4.6,74.935,Mid-Range,Intel,i5,1,16290.21739130435
Hp,16,10Th Gen,4,512,Silver,2.31,Intel Core I5,411,38368,22.77,3.2,38.368,Budget,Intel,i5,1,11990.0
Acer,Vivobook,10Th Gen,12,512,Black,2.21,AMD Ryzen 5,494,134075,25.310000000000002,4.6,134.075,Premium,AMD,Ryzen 5,1,29146.739130434784
Dell,15,10Th Gen,12,1024,Black,1.8,AMD Ryzen 5,448,170544,28.87,4.1,170.544,Premium,AMD,Ryzen 5,1,41596.09756097561
Lenovo,15,12Th Gen,8,512,White,2.81,AMD Ryzen 3,496,74551,27.51,4.7,74.551,Mid-Range,AMD,Ryzen 3,1,15861.91489361702
Acer,Vivobook,11Th Gen,8,512,Silver,2.57,Intel Core I5,607,153922,19.94,3.9,153.922,Premium,Intel,i5,1,39467.179487179485
Asus,X1,11Th Gen,4,256,Black,2.32,AMD Ryzen 7,618,100577,25.8,3.8,100.577,Premium,AMD,Ryzen 7,1,26467.63157894737
Hp,15,12Th Gen,16,256,White,1.91,Intel Core I5,634,80815,10.12,4.2,80.815,Premium,Intel,i5,1,19241.666666666664
Acer,Inspiron,13Th Gen,32,256,White,1.38,Intel Core I7,599,152004,33.64,4.6,152.004,Premium,Intel,i7,1,33044.34782608696
Asus,14,12Th Gen,8,256,Black,1.7,AMD Ryzen 7,535,145486,29.33,3.0,145.486,Premium,AMD,Ryzen 7,1,48495.333333333336
Dell,Vivobook,10Th Gen,8,1024,Grey,1.67,Intel Core I5,470,24194,4.38,2.9,24.194,Budget,Intel,i5,1,8342.758620689656
Dell,14,11Th Gen,16,256,Grey,2.41,Intel Core I7,211,144120,21.994999999999997,3.0,144.12,Premium,Intel,i7,1,48040.0
Dell,X1,11Th Gen,4,1024,White,2.54,Intel Core I3,275,140353,9.61,4.5,140.353,Premium,Intel,i3,1,31189.555555555555
Lenovo,Inspiron,12Th Gen,32,256,Blue,1.83,Intel Core I3,581,182102,25.15,3.0,182.102,Premium,Intel,i3,1,60700.666666666664
Acer,14,13Th Gen,12,1024,Black,2.3,AMD Ryzen 5,574,169675,28.17,3.6,169.675,Premium,AMD,Ryzen 5,1,47131.944444444445
Lenovo,Inspiron,12Th Gen,8,1024,Grey,2.67,AMD Ryzen 5,521,111813,21.69,4.2,111.813,Premium,AMD,Ryzen 5,1,26622.142857142855
Dell,Vivobook,10Th Gen,16,512,Blue,2.51,AMD Ryzen 3,852,169541,28.43,4.4,169.541,Premium,AMD,Ryzen 3,1,38532.04545454545
Asus,14,12Th Gen,8,512,Silver,1.38,AMD Ryzen 7,510,103698,29.33,4.3,103.698,Premium,AMD,Ryzen 7,1,24115.813953488374
Dell,15,11Th Gen,16,1024,Silver,1.47,Intel Core I7,270,95778,2.02,4.4,95.778,Premium,Intel,i7,1,21767.727272727272
Dell,16,13Th Gen,4,256,Black,1.71,Intel Core I7,917,32828,6.01,4.5,32.828,Budget,Intel,i7,1,7295.111111111111
Acer,Vivobook,13Th Gen,12,512,Black,1.74,Intel Core I3,560,91943,12.66,2.6,91.943,Premium,Intel,i3,1,35362.692307692305
Lenovo,14,10Th Gen,8,512,Blue,2.79,Intel Core I5,537,122143,22.8,3.3,122.143,Premium,Intel,i5,1,37013.030303030304
Asus,15,10Th Gen,4,256,White,1.84,AMD Ryzen 3,444,180332,0.81,4.9,180.332,Premium,AMD,Ryzen 3,1,36802.448979591834
Hp,Inspiron,12Th Gen,16,1024,White,1.62,AMD Ryzen 7,618,90439,10.44,2.8,90.439,Premium,AMD,Ryzen 7,1,32299.64285714286
Dell,Vivobook,12Th Gen,8,512,Blue,1.61,Intel Core I7,463,95137,20.24,2.8,95.137,Premium,Intel,i7,1,33977.5
Acer,14,13Th Gen,32,1024,Silver,2.14,Intel Core I3,541,171775,29.96,4.8,171.775,Premium,Intel,i3,1,35786.458333333336
Acer,14,12Th Gen,4,512,Grey,2.54,AMD Ryzen 3,630,174201,28.405,4.4,174.201,Premium,AMD,Ryzen 3,1,39591.13636363636
Hp,16,11Th Gen,16,256,Blue,1.51,Intel Core I3,854,88661,31.3,3.1,88.661,Premium,Intel,i3,1,28600.32258064516
Dell,Vivobook,11Th Gen,16,512,Black,1.57,AMD Ryzen 7,108,53919,9.92,3.1,53.919,Mid-Range,AMD,Ryzen 7,1,17393.225806451614
Acer,X1,12Th Gen,8,512,Black,2.68,Intel Core I7,862,64227,24.08,4.1,64.227,Mid-Range,Intel,i7,1,15665.121951219513
Dell,16,10Th Gen,4,512,Silver,1.81,AMD Ryzen 7,596,164093,44.08,4.9,164.093,Premium,AMD,Ryzen 7,1,33488.36734693877
Hp,Inspiron,12Th Gen,16,256,Silver,2.68,AMD Ryzen 3,102,92514,24.355,3.2,92.514,Premium,AMD,Ryzen 3,1,28910.625
Acer,X1,11Th Gen,4,512,White,1.95,Intel Core I3,731,121833,35.52,4.7,121.833,Premium,Intel,i3,1,25921.91489361702
Dell,X1,12Th Gen,32,256,Black,2.99,Intel Core I7,536,182058,19.78,4.2,182.058,Premium,Intel,i7,1,43347.142857142855
Hp,Vivobook,11Th Gen,32,512,Silver,1.35,AMD Ryzen 3,411,95300,34.62,3.2,95.3,Premium,AMD,Ryzen 3,1,29781.25
Lenovo,14,12Th Gen,4,256,White,2.49,Intel Core I3,562,118756,19.58,2.5,118.756,Premium,Intel,i3,1,47502.4
Dell,15,13Th Gen,32,256,White,1.22,AMD Ryzen 7,896,122843,26.5,2.5,122.843,Premium,AMD,Ryzen 7,1,49137.2
Acer,16,11Th Gen,32,1024,Blue,1.23,Intel Core I3,709,47191,30.43,3.7,47.191,Mid-Range,Intel,i3,1,12754.324324324323
Dell,16,12Th Gen,8,256,White,1.35,Intel Core I3,502,161701,20.24,2.5,161.701,Premium,Intel,i3,1,64680.4
Lenovo,16,10Th Gen,16,256,Blue,2.94,AMD Ryzen 3,468,36956,25.32,4.2,36.956,Budget,AMD,Ryzen 3,1,8799.047619047618
Asus,Vivobook,12Th Gen,8,1024,Silver,2.44,AMD Ryzen 3,599,183998,20.62,4.8,183.998,Premium,AMD,Ryzen 3,1,38332.91666666667
Acer,15,10Th Gen,32,512,Grey,1.9,AMD Ryzen 7,627,52239,27.9,4.2,52.239,Mid-Range,AMD,Ryzen 7,1,12437.857142857143
Asus,14,11Th Gen,32,512,Blue,2.32,Intel Core I3,599,198805,24.22,4.8,198.805,Premium,Intel,i3,1,41417.708333333336
Acer,16,10Th Gen,8,512,Black,2.91,AMD Ryzen 3,773,92289,36.74,3.2,92.289,Premium,AMD,Ryzen 3,1,28840.3125
Asus,14,11Th Gen,4,1024,Blue,1.84,Intel Core I3,490,49416,13.33,3.2,49.416,Mid-Range,Intel,i3,1,15442.5
Dell,14,13Th Gen,12,512,White,2.68,Intel Core I7,140,185338,29.42,3.3,185.338,Premium,Intel,i7,1,56163.030303030304
Hp,14,12Th Gen,32,1024,Silver,2.75,Intel Core I3,634,61806,48.79,2.9,61.806,Mid-Range,Intel,i3,1,21312.41379310345
Hp,Inspiron,12Th Gen,4,256,Silver,1.84,AMD Ryzen 3,609,137457,23.95,3.7,137.457,Premium,AMD,Ryzen 3,1,37150.54054054054
Acer,X1,11Th Gen,12,512,Grey,2.66,Intel Core I7,591,164228,39.2,3.9,164.228,Premium,Intel,i7,1,42109.74358974359
Hp,Inspiron,11Th Gen,4,512,Blue,1.52,Intel Core I5,542,195769,24.674999999999997,4.7,195.769,Premium,Intel,i5,1,41652.97872340425
Dell,16,11Th Gen,4,1024,Grey,1.93,Intel Core I7,803,55839,28.26,3.2,55.839,Mid-Range,Intel,i7,1,17449.6875
Acer,16,13Th Gen,12,1024,Blue,2.99,Intel Core I7,533,121160,28.17,3.5,121.16,Premium,Intel,i7,1,34617.142857142855
Lenovo,X1,12Th Gen,32,256,Silver,2.41,AMD Ryzen 3,590,99930,25.15,4.3,99.93,Premium,AMD,Ryzen 3,1,23239.53488372093
Lenovo,X1,11Th Gen,4,1024,Black,2.04,Intel Core I7,568,84499,22.01,4.5,84.499,Premium,Intel,i7,1,18777.555555555555
Asus,X1,12Th Gen,12,256,White,2.5,AMD Ryzen 5,537,122345,14.85,3.7,122.345,Premium,AMD,Ryzen 5,1,33066.21621621621
Lenovo,14,11Th Gen,4,512,Silver,1.72,AMD Ryzen 3,514,28712,23.79,4.7,28.712,Budget,AMD,Ryzen 3,1,6108.936170212765
Hp,X1,10Th Gen,4,256,White,2.39,Intel Core I5,503,93338,22.77,3.0,93.338,Premium,Intel,i5,1,31112.666666666668
Asus,15,12Th Gen,32,512,White,2.99,Intel Core I7,657,27725,29.23,4.6,27.725,Budget,Intel,i7,1,6027.173913043479
Hp,Vivobook,10Th Gen,4,512,Silver,1.73,AMD Ryzen 5,457,76224,22.77,4.6,76.224,Mid-Range,AMD,Ryzen 5,1,16570.434782608696
Asus,X1,11Th Gen,12,512,Grey,2.93,AMD Ryzen 3,507,98216,23.03,4.5,98.216,Premium,AMD,Ryzen 3,1,21825.777777777777
Asus,Inspiron,13Th Gen,32,256,White,1.35,Intel Core I5,839,142253,22.26,2.7,142.253,Premium,Intel,i5,1,52686.29629629629
Asus,Inspiron,13Th Gen,4,512,Black,1.69,Intel Core I5,508,73504,31.42,4.4,73.504,Mid-Range,Intel,i5,1,16705.454545454544
Dell,14,11Th Gen,12,512,Grey,1.65,AMD Ryzen 5,401,60886,19.88,3.7,60.886,Mid-Range,AMD,Ryzen 5,1,16455.675675675673
Dell,Vivobook,12Th Gen,8,512,Blue,1.45,Intel Core I3,559,39385,15.84,3.9,39.385,Budget,Intel,i3,1,10098.71794871795
Lenovo,16,12Th Gen,4,256,Silver,2.25,Intel Core I5,723,125370,40.57,4.7,125.37,Premium,Intel,i5,1,26674.468085106382
Asus,16,10Th Gen,32,256,Black,1.87,AMD Ryzen 7,597,58949,7.48,4.3,58.949,Mid-Range,AMD,Ryzen 7,1,13709.06976744186
Lenovo,16,13Th Gen,8,1024,Blue,2.51,Intel Core I7,492,113603,19.23,2.8,113.603,Premium,Intel,i7,1,40572.5
Asus,Inspiron,10Th Gen,4,256,White,2.59,AMD Ryzen 7,495,171312,13.86,2.5,171.312,Premium,AMD,Ryzen 7,1,68524.8
Lenovo,15,11Th Gen,8,1024,Silver,2.89,Intel Core I7,526,120866,23.19,3.5,120.866,Premium,Intel,i7,1,34533.142857142855
Asus,X1,12Th Gen,8,1024,Blue,2.26,AMD Ryzen 7,394,32955,29.33,3.1,32.955,Budget,AMD,Ryzen 7,1,10630.645161290322
Acer,Inspiron,11Th Gen,16,512,Blue,1.65,Intel Core I7,619,44983,24.86,4.7,44.983,Mid-Range,Intel,i7,1,9570.851063829787
Asus,Vivobook,10Th Gen,8,512,Black,2.54,AMD Ryzen 5,537,48394,25.5,3.7,48.394,Mid-Range,AMD,Ryzen 5,1,13079.459459459458
Asus,Inspiron,10Th Gen,12,256,Silver,1.22,AMD Ryzen 5,540,162781,24.84,3.5,162.781,Premium,AMD,Ryzen 5,1,46508.857142857145
Asus,15,11Th Gen,8,256,White,1.42,Intel Core I3,507,161434,28.134999999999998,4.5,161.434,Premium,Intel,i3,1,35874.22222222222
Dell,14,11Th Gen,8,1024,White,1.6,AMD Ryzen 3,540,134262,47.2,4.4,134.262,Premium,AMD,Ryzen 3,1,30514.090909090908
Hp,Inspiron,13Th Gen,16,256,Black,1.63,AMD Ryzen 7,548,133582,35.62,3.3,133.582,Premium,AMD,Ryzen 7,1,40479.39393939394
Asus,16,11Th Gen,16,1024,Silver,2.94,AMD Ryzen 3,976,136494,32.55,2.9,136.494,Premium,AMD,Ryzen 3,1,47066.89655172414
Lenovo,Inspiron,11Th Gen,12,1024,Grey,1.81,Intel Core I3,592,135516,29.125,3.4,135.516,Premium,Intel,i3,1,39857.64705882353
Acer,15,13Th Gen,8,512,Black,1.26,AMD Ryzen 3,959,68783,28.02,4.8,68.783,Mid-Range,AMD,Ryzen 3,1,14329.791666666668
Asus,15,12Th Gen,12,1024,Black,2.41,Intel Core I3,593,92270,33.99,4.2,92.27,Premium,Intel,i3,1,21969.04761904762
Hp,14,10Th Gen,8,256,White,2.62,AMD Ryzen 3,606,180840,26.66,4.9,180.84,Premium,AMD,Ryzen 3,1,36906.122448979586
Hp,Inspiron,10Th Gen,8,512,Black,2.06,Intel Core I3,301,152420,26.66,4.6,152.42,Premium,Intel,i3,1,33134.782608695656
Acer,15,10Th Gen,32,1024,Blue,2.03,AMD Ryzen 5,185,139712,27.9,3.4,139.712,Premium,AMD,Ryzen 5,1,41091.76470588236
