Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Review,Price,Offer,Rating
Asus,VivoBook,12th Gen,12.0,1024.0,Black,2.91,AMD Ryzen 3,502.23,123718.98,,4.7
Acer,X1,10th Gen,8.0,512.0,Blue,2.3,AMD Ryzen 5,,61665.26,,4.8
Lenovo,15,10th Gen,16.0,1024.0,Black,1.72,Intel Core i3,129.37,83395.66,,4.4
Hp,14,12th Gen,4.0,512.0,Black,1.64,Intel Core i7,,161610.83,,4.8
Dell,X1,10th Gen,16.0,1024.0,Black,1.78,Intel Core i3,,156336.45,,4.0
Hp,15,12th Gen,12.0,1024.0,Blue,2.55,Intel Core i5,,91256.46,,3.1
Asus,X1,13th Gen,32.0,512.0,Blue,1.99,AMD Ryzen 3,,65533.67,18.55,4.4
Asus,14,11th Gen,12.0,1024.0,White,1.68,AMD Ryzen 7,209.35,190622.84,40.45,4.9
Hp,VivoBook,10th Gen,16.0,1024.0,Silver,1.72,Intel Core i3,771.97,168754.31,,3.5
Asus,16,11th Gen,16.0,512.0,Silver,2.63,Intel Core i5,703.42,119000.24,,2.6
Asus,VivoBook,12th Gen,4.0,256.0,Grey,2.24,AMD Ryzen 7,732.44,160167.15,9.74,4.9
Lenovo,Inspiron,10th Gen,32.0,512.0,Black,1.37,AMD Ryzen 7,882.55,113255.71,47.68,3.5
Asus,X1,11th Gen,8.0,512.0,Blue,2.24,AMD Ryzen 5,359.21,90427.1,18.19,3.1
Hp,X1,13th Gen,8.0,1024.0,Black,2.14,AMD Ryzen 3,,62589.87,,2.6
Hp,Inspiron,10th Gen,16.0,512.0,Blue,1.54,Intel Core i3,,37720.65,12.53,3.8
Lenovo,Inspiron,12th Gen,4.0,512.0,Black,2.26,Intel Core i7,246.06,145384.63,,3.2
Acer,Inspiron,12th Gen,8.0,1024.0,Grey,1.47,AMD Ryzen 3,195.97,159451.91,,4.4
Acer,16,13th Gen,32.0,512.0,Blue,1.52,Intel Core i7,158.46,75365.07,,4.7
Dell,VivoBook,11th Gen,12.0,256.0,Silver,2.18,Intel Core i3,282.82,21611.29,45.25,3.6
Lenovo,16,13th Gen,12.0,,White,2.55,Intel Core i3,651.71,38310.64,41.47,3.3
Hp,15,11th Gen,12.0,256.0,White,2.49,AMD Ryzen 7,841.24,23573.35,,3.0
Dell,16,11th Gen,4.0,1024.0,Blue,1.71,AMD Ryzen 5,956.89,93510.09,31.44,4.9
Lenovo,15,10th Gen,8.0,256.0,Blue,1.7,Intel Core i7,916.14,26628.24,,3.3
Lenovo,15,11th Gen,,512.0,Grey,2.46,Intel Core i3,,72700.83,,3.8
Asus,VivoBook,12th Gen,32.0,512.0,Grey,1.73,Intel Core i3,,145972.47,39.99,3.3
Dell,14,12th Gen,4.0,256.0,Blue,1.99,AMD Ryzen 3,363.25,152645.98,,4.7
Hp,14,11th Gen,8.0,512.0,Blue,2.36,Intel Core i3,840.85,132413.02,14.06,2.5
Asus,14,12th Gen,8.0,512.0,White,2.86,AMD Ryzen 7,,26921.0,,4.1
Asus,VivoBook,12th Gen,16.0,512.0,Silver,2.94,AMD Ryzen 7,,87533.31,2.07,2.6
Asus,Inspiron,11th Gen,32.0,512.0,White,2.07,AMD Ryzen 5,682.54,198574.13,23.8,3.7
Acer,VivoBook,10th Gen,16.0,256.0,Silver,2.21,Intel Core i7,212.12,82344.77,,4.2
Lenovo,16,11th Gen,32.0,256.0,Black,2.43,AMD Ryzen 3,,57854.38,,3.8
Asus,X1,10th Gen,12.0,256.0,Silver,1.6,AMD Ryzen 5,833.69,195153.27,,3.7
Hp,X1,11th Gen,12.0,1024.0,White,2.0,AMD Ryzen 7,680.4,109244.57,30.62,2.9
Dell,14,10th Gen,32.0,1024.0,Silver,2.32,Intel Core i3,911.66,174419.71,34.06,4.9
Asus,15,11th Gen,16.0,256.0,Grey,2.06,Intel Core i3,941.92,186293.58,22.39,4.7
Lenovo,Inspiron,10th Gen,4.0,1024.0,Grey,2.14,AMD Ryzen 3,,104474.86,,4.1
Dell,VivoBook,12th Gen,32.0,512.0,White,1.96,AMD Ryzen 5,,55603.01,,3.7
Acer,X1,13th Gen,16.0,256.0,Blue,2.35,Intel Core i7,,107471.26,3.88,3.9
Asus,Inspiron,12th Gen,32.0,256.0,Grey,1.4,AMD Ryzen 5,,120765.85,,4.5
Hp,X1,10th Gen,32.0,256.0,Black,1.21,Intel Core i3,335.39,31205.87,,2.6
Dell,VivoBook,13th Gen,32.0,1024.0,Blue,1.86,AMD Ryzen 5,449.19,34179.64,,3.0
Dell,14,10th Gen,12.0,512.0,Grey,2.95,AMD Ryzen 7,,113046.44,8.49,4.9
Dell,VivoBook,12th Gen,16.0,1024.0,Blue,1.54,Intel Core i5,,146402.21,,4.4
Hp,14,12th Gen,8.0,1024.0,Silver,2.87,AMD Ryzen 7,280.02,147594.64,,2.7
Asus,VivoBook,12th Gen,4.0,1024.0,Grey,1.23,AMD Ryzen 3,778.68,168900.6,,3.6
Lenovo,X1,12th Gen,16.0,256.0,White,1.4,AMD Ryzen 7,,129837.51,,2.8
Acer,14,10th Gen,32.0,1024.0,Grey,1.49,AMD Ryzen 5,,149137.05,21.62,3.3
Lenovo,VivoBook,12th Gen,4.0,256.0,Blue,1.72,Intel Core i5,,46752.02,,3.8
Lenovo,15,11th Gen,8.0,256.0,White,1.54,AMD Ryzen 5,243.37,29417.46,,4.0
Asus,14,12th Gen,8.0,512.0,Blue,2.4,AMD Ryzen 3,585.16,127087.8,34.04,2.8
Asus,VivoBook,13th Gen,12.0,1024.0,Blue,1.82,AMD Ryzen 5,776.77,30841.57,,3.8
Lenovo,14,10th Gen,8.0,256.0,Black,1.57,AMD Ryzen 7,,147736.18,,3.4
Hp,X1,13th Gen,12.0,512.0,Blue,2.99,Intel Core i3,,128796.17,12.67,4.6
Asus,VivoBook,11th Gen,12.0,512.0,Silver,1.76,Intel Core i3,798.26,120050.55,49.45,4.7
Dell,Inspiron,11th Gen,8.0,256.0,Blue,2.22,AMD Ryzen 3,,31237.5,16.65,2.9
Asus,Inspiron,12th Gen,16.0,512.0,White,2.64,AMD Ryzen 7,707.13,72210.95,18.32,3.1
Asus,Inspiron,11th Gen,4.0,256.0,Grey,1.98,Intel Core i7,,124092.5,33.7,4.8
Lenovo,14,10th Gen,8.0,512.0,White,2.33,,,172680.49,4.14,4.0
Hp,X1,13th Gen,32.0,512.0,Black,2.33,Intel Core i7,,81906.29,,4.6
Dell,16,10th Gen,8.0,1024.0,White,1.75,Intel Core i7,,87442.28,30.45,2.8
Dell,VivoBook,11th Gen,8.0,512.0,White,2.58,AMD Ryzen 3,477.88,151230.75,0.4,4.1
Dell,14,12th Gen,16.0,512.0,Silver,1.33,AMD Ryzen 5,,161552.34,,2.9
Dell,15,11th Gen,12.0,256.0,Black,2.78,AMD Ryzen 5,,197389.65,29.52,4.4
Acer,14,11th Gen,8.0,256.0,Black,2.58,Intel Core i7,,27948.8,,4.9
Asus,Inspiron,13th Gen,4.0,256.0,Grey,1.66,AMD Ryzen 7,948.02,145797.81,35.15,4.1
Asus,14,12th Gen,32.0,256.0,White,1.8,AMD Ryzen 5,907.8,100109.74,,4.3
Dell,16,13th Gen,16.0,256.0,White,2.1,Intel Core i3,,188106.84,,3.9
Acer,14,10th Gen,8.0,512.0,Blue,2.65,AMD Ryzen 7,,181253.41,,4.3
Hp,16,12th Gen,32.0,1024.0,Grey,1.94,Intel Core i3,832.42,70273.41,0.45,2.7
Dell,15,10th Gen,16.0,1024.0,Black,2.74,AMD Ryzen 3,,134153.81,18.65,2.6
Hp,15,11th Gen,8.0,512.0,Black,2.78,AMD Ryzen 5,376.3,169520.64,,3.6
Acer,X1,13th Gen,8.0,1024.0,Silver,1.35,Intel Core i3,,57831.63,,3.6
Lenovo,Inspiron,11th Gen,12.0,1024.0,Silver,1.93,Intel Core i3,,177805.86,6.99,2.6
Hp,Inspiron,12th Gen,8.0,1024.0,White,1.58,Intel Core i3,,37107.95,43.4,4.2
Acer,15,11th Gen,8.0,1024.0,Blue,1.89,Intel Core i5,552.47,184951.15,3.68,4.7
Acer,14,10th Gen,8.0,256.0,Silver,1.25,Intel Core i3,487.98,130334.34,,4.2
Dell,14,12th Gen,8.0,256.0,White,2.41,Intel Core i7,918.46,192647.67,,3.5
Lenovo,15,13th Gen,4.0,256.0,White,1.55,AMD Ryzen 3,,175675.15,,3.9
Dell,15,10th Gen,32.0,512.0,Silver,2.72,Intel Core i5,,74935.32,21.04,4.6
Hp,16,10th Gen,4.0,512.0,Silver,2.31,Intel Core i5,,38368.87,,3.2
Acer,VivoBook,10th Gen,12.0,512.0,Black,2.21,AMD Ryzen 5,,134075.09,,4.6
Dell,15,10th Gen,12.0,1024.0,Black,1.8,AMD Ryzen 5,,170544.66,,4.1
Lenovo,15,12th Gen,8.0,512.0,White,2.81,AMD Ryzen 3,,74551.44,,4.7
Acer,VivoBook,11th Gen,8.0,512.0,Silver,2.57,Intel Core i5,,153922.5,,3.9
Asus,X1,11th Gen,4.0,256.0,Black,2.32,AMD Ryzen 7,,100577.1,,3.8
Hp,15,12th Gen,16.0,256.0,White,1.91,Intel Core i5,,80815.69,10.12,4.2
Acer,Inspiron,13th Gen,32.0,256.0,White,1.38,Intel Core i7,599.07,152004.61,33.64,4.6
Asus,14,12th Gen,8.0,256.0,Black,1.7,AMD Ryzen 7,,145486.73,,3.0
Dell,VivoBook,10th Gen,8.0,1024.0,Grey,1.67,Intel Core i5,,24194.67,4.38,2.9
Dell,14,11th Gen,16.0,256.0,Grey,2.41,Intel Core i7,211.88,144120.56,,3.0
Dell,X1,11th Gen,4.0,1024.0,White,2.54,Intel Core i3,275.99,140353.64,9.61,4.5
Lenovo,Inspiron,12th Gen,32.0,256.0,Blue,1.83,Intel Core i3,,182102.01,,3.0
Acer,14,13th Gen,12.0,1024.0,Black,2.3,AMD Ryzen 5,,169675.16,,3.6
Lenovo,Inspiron,12th Gen,8.0,1024.0,Grey,2.67,AMD Ryzen 5,521.45,111813.3,21.69,4.2
Dell,VivoBook,10th Gen,16.0,512.0,Blue,2.51,AMD Ryzen 3,852.27,169541.2,,4.4
Asus,14,12th Gen,8.0,512.0,Silver,1.38,AMD Ryzen 7,510.2,103698.26,,4.3
Dell,15,11th Gen,16.0,1024.0,Silver,1.47,Intel Core i7,270.36,95778.82,2.02,4.4
Dell,16,13th Gen,4.0,256.0,Black,1.71,Intel Core i7,917.26,32828.6,6.01,4.5
Dell,14,10th Gen,,256.0,Black,2.99,AMD Ryzen 5,,139529.36,,3.3
Acer,VivoBook,13th Gen,12.0,512.0,Black,1.74,Intel Core i3,,91943.36,12.66,2.6
Lenovo,14,10th Gen,8.0,512.0,Blue,2.79,Intel Core i5,,122143.52,,3.3
Asus,15,10th Gen,4.0,256.0,White,1.84,AMD Ryzen 3,,180332.95,0.81,4.9
Hp,Inspiron,12th Gen,16.0,1024.0,White,1.62,AMD Ryzen 7,,90439.4,10.44,2.8
Dell,VivoBook,12th Gen,8.0,512.0,Blue,1.61,Intel Core i7,,95137.41,,2.8
Acer,14,13th Gen,32.0,1024.0,Silver,2.14,Intel Core i3,,171775.26,,4.8
Acer,14,12th Gen,4.0,512.0,Grey,2.54,AMD Ryzen 3,,174201.19,,4.4
Hp,16,11th Gen,16.0,256.0,Blue,1.51,Intel Core i3,854.3,88661.92,,3.1
Dell,VivoBook,11th Gen,16.0,512.0,Black,1.57,AMD Ryzen 7,108.56,53919.73,9.92,3.1
Acer,X1,12th Gen,8.0,512.0,Black,2.68,Intel Core i7,862.47,64227.77,24.08,4.1
Lenovo,14,13th Gen,,1024.0,Black,1.93,AMD Ryzen 7,,122502.63,35.69,2.5
Dell,16,10th Gen,4.0,512.0,Silver,1.81,AMD Ryzen 7,596.36,164093.83,44.08,4.9
Hp,Inspiron,12th Gen,16.0,256.0,Silver,2.68,AMD Ryzen 3,102.35,92514.08,,3.2
Acer,X1,11th Gen,4.0,512.0,White,1.95,Intel Core i3,731.64,121833.3,35.52,4.7
Dell,X1,12th Gen,32.0,256.0,Black,2.99,Intel Core i7,,182058.32,,4.2
Hp,VivoBook,11th Gen,32.0,512.0,Silver,1.35,AMD Ryzen 3,,95300.05,34.62,3.2
Lenovo,14,12th Gen,4.0,256.0,White,2.49,Intel Core i3,,118756.66,,2.5
Dell,15,13th Gen,32.0,256.0,White,1.22,AMD Ryzen 7,896.28,122843.8,26.5,2.5
Acer,16,11th Gen,32.0,1024.0,Blue,1.23,Intel Core i3,,47191.5,30.43,3.7
Dell,16,12th Gen,8.0,256.0,White,1.35,Intel Core i3,,161701.04,,2.5
Lenovo,16,10th Gen,16.0,256.0,Blue,2.94,AMD Ryzen 3,,36956.13,,4.2
Asus,VivoBook,12th Gen,8.0,1024.0,Silver,2.44,AMD Ryzen 3,,183998.58,20.62,4.8
Acer,15,10th Gen,32.0,512.0,Grey,1.9,AMD Ryzen 7,,52239.83,,4.2
Asus,14,11th Gen,32.0,512.0,Blue,2.32,Intel Core i3,,198805.37,,4.8
Acer,16,10th Gen,8.0,512.0,Black,2.91,AMD Ryzen 3,773.84,92289.37,36.74,3.2
Lenovo,16,10th Gen,,256.0,Blue,1.77,AMD Ryzen 5,542.75,79557.14,,3.5
Asus,14,11th Gen,4.0,1024.0,Blue,1.84,Intel Core i3,,49416.86,13.33,3.2
Dell,14,13th Gen,12.0,512.0,White,2.68,Intel Core i7,140.94,185338.61,,3.3
Hp,14,12th Gen,32.0,1024.0,Silver,2.75,Intel Core i3,,61806.53,48.79,2.9
Hp,Inspiron,12th Gen,4.0,256.0,Silver,1.84,AMD Ryzen 3,609.71,137457.59,,3.7
Acer,X1,11th Gen,12.0,512.0,Grey,2.66,Intel Core i7,591.44,164228.05,39.2,3.9
Hp,Inspiron,11th Gen,4.0,512.0,Blue,1.52,Intel Core i5,,195769.36,,4.7
Dell,16,11th Gen,4.0,1024.0,Grey,1.93,Intel Core i7,803.93,55839.8,,3.2
Acer,16,13th Gen,12.0,1024.0,Blue,2.99,Intel Core i7,,121160.57,,3.5
Lenovo,X1,12th Gen,32.0,256.0,Silver,2.41,AMD Ryzen 3,,99930.13,,4.3
Lenovo,X1,11th Gen,4.0,1024.0,Black,2.04,Intel Core i7,,84499.31,22.01,4.5
Asus,X1,12th Gen,12.0,256.0,White,2.5,AMD Ryzen 5,,122345.09,14.85,3.7
Lenovo,14,11th Gen,4.0,512.0,Silver,1.72,AMD Ryzen 3,514.17,28712.74,,4.7
Hp,X1,10th Gen,4.0,256.0,White,2.39,Intel Core i5,,93338.53,,3.0
Asus,15,12th Gen,32.0,512.0,White,2.99,Intel Core i7,,27725.91,,4.6
Hp,VivoBook,10th Gen,4.0,512.0,Silver,1.73,AMD Ryzen 5,,76224.84,,4.6
Asus,X1,11th Gen,12.0,512.0,Grey,2.93,AMD Ryzen 3,,98216.69,23.03,4.5
Asus,Inspiron,13th Gen,32.0,256.0,White,1.35,Intel Core i5,839.35,142253.42,,2.7
Asus,Inspiron,13th Gen,4.0,512.0,Black,1.69,Intel Core i5,,73504.74,,4.4
Dell,14,11th Gen,12.0,512.0,Grey,1.65,AMD Ryzen 5,401.38,60886.23,19.88,3.7
Dell,VivoBook,12th Gen,8.0,512.0,Blue,1.45,Intel Core i3,,39385.14,15.84,3.9
Lenovo,16,12th Gen,4.0,256.0,Silver,2.25,Intel Core i5,723.29,125370.82,40.57,4.7
Asus,16,10th Gen,32.0,256.0,Black,1.87,AMD Ryzen 7,,58949.93,7.48,4.3
Lenovo,16,13th Gen,8.0,1024.0,Blue,2.51,Intel Core i7,,113603.82,,2.8
Asus,Inspiron,10th Gen,4.0,256.0,White,2.59,AMD Ryzen 7,,171312.69,13.86,2.5
Lenovo,15,11th Gen,8.0,1024.0,Silver,2.89,Intel Core i7,,120866.49,,3.5
Asus,X1,12th Gen,8.0,1024.0,Blue,2.26,AMD Ryzen 7,,32955.96,,3.1
Acer,Inspiron,11th Gen,16.0,512.0,Blue,1.65,Intel Core i7,619.26,44983.99,,4.7
Asus,VivoBook,10th Gen,8.0,512.0,Black,2.54,AMD Ryzen 5,,48394.77,,3.7
Asus,Inspiron,10th Gen,12.0,256.0,Silver,1.22,AMD Ryzen 5,540.89,162781.4,,3.5
Asus,15,11th Gen,8.0,256.0,White,1.42,Intel Core i3,,161434.54,,4.5
Dell,14,11th Gen,8.0,1024.0,White,1.6,AMD Ryzen 3,,134262.11,47.2,4.4
Hp,Inspiron,13th Gen,16.0,256.0,Black,1.63,AMD Ryzen 7,,133582.59,35.62,3.3
Asus,16,11th Gen,16.0,1024.0,Silver,2.94,AMD Ryzen 3,976.12,136494.17,,2.9
Lenovo,Inspiron,11th Gen,12.0,1024.0,Grey,1.81,Intel Core i3,,135516.58,,3.4
Acer,15,13th Gen,8.0,512.0,Black,1.26,AMD Ryzen 3,959.75,68783.0,,4.8
Asus,15,12th Gen,12.0,1024.0,Black,2.41,Intel Core i3,,92270.21,33.99,4.2
Hp,14,10th Gen,8.0,256.0,White,2.62,AMD Ryzen 3,,180840.16,,4.9
Hp,Inspiron,10th Gen,8.0,512.0,Black,2.06,Intel Core i3,301.45,152420.45,,4.6
Acer,15,10th Gen,32.0,1024.0,Blue,2.03,AMD Ryzen 5,185.7,139712.4,,3.4
Hp,14,12th Gen,4.0,256.0,Grey,2.09,AMD Ryzen 7,,194451.88,,3.3
Acer,X1,13th Gen,4.0,512.0,Silver,2.38,AMD Ryzen 3,,175448.62,,3.7
Hp,14,12th Gen,32.0,256.0,Blue,2.34,Intel Core i5,,144415.17,,4.1
Dell,16,12th Gen,8.0,1024.0,Grey,2.19,AMD Ryzen 5,628.72,191714.93,20.87,4.3
Acer,X1,11th Gen,12.0,512.0,White,1.99,AMD Ryzen 3,,142157.17,,4.9
Dell,15,12th Gen,12.0,512.0,Silver,2.36,Intel Core i3,,106129.54,40.25,4.9
Acer,X1,13th Gen,32.0,1024.0,Silver,1.61,Intel Core i3,970.91,152529.86,,3.0
Dell,15,12th Gen,4.0,256.0,White,2.57,Intel Core i5,,106075.86,,3.4
Asus,X1,10th Gen,16.0,1024.0,Silver,2.05,AMD Ryzen 5,,133048.7,32.74,2.7
Dell,15,12th Gen,32.0,1024.0,Blue,2.11,AMD Ryzen 3,,146701.47,,4.2
Hp,VivoBook,11th Gen,32.0,256.0,Black,2.19,AMD Ryzen 5,,82572.01,12.89,2.8
Hp,16,12th Gen,32.0,256.0,White,1.26,Intel Core i3,,133423.64,6.74,3.4
Acer,14,10th Gen,16.0,512.0,Black,2.5,Intel Core i3,794.64,169118.45,17.25,5.0
Asus,Inspiron,11th Gen,12.0,512.0,Black,2.86,Intel Core i5,703.01,158472.46,,4.2
Asus,16,13th Gen,32.0,256.0,White,2.77,Intel Core i3,481.49,148427.67,,3.6
Acer,X1,11th Gen,8.0,256.0,Silver,2.77,Intel Core i3,958.34,88987.45,11.61,3.7
Acer,VivoBook,12th Gen,16.0,512.0,White,2.49,AMD Ryzen 7,375.17,21302.22,43.51,2.9
Dell,15,10th Gen,8.0,512.0,Silver,2.99,Intel Core i7,707.4,101649.2,,3.1
Hp,VivoBook,11th Gen,12.0,1024.0,Black,1.82,Intel Core i7,,31418.2,,4.4
Asus,14,13th Gen,8.0,512.0,White,2.9,Intel Core i5,,78939.3,28.17,3.7
Lenovo,15,11th Gen,32.0,1024.0,Silver,1.66,AMD Ryzen 3,,144860.23,,3.1
Asus,Inspiron,11th Gen,8.0,1024.0,White,2.01,AMD Ryzen 3,640.54,150138.38,,3.8
Lenovo,15,11th Gen,4.0,1024.0,Silver,2.61,AMD Ryzen 5,539.23,47948.69,,3.7
Dell,14,12th Gen,8.0,512.0,Black,2.89,Intel Core i5,846.62,23064.3,,2.7
Asus,VivoBook,13th Gen,16.0,512.0,Grey,2.28,AMD Ryzen 7,,162018.02,,4.7
Acer,16,12th Gen,8.0,256.0,Blue,2.73,AMD Ryzen 7,,109317.25,,3.2
Asus,14,12th Gen,32.0,256.0,Black,1.67,Intel Core i5,550.49,163543.78,,3.8
Acer,VivoBook,12th Gen,8.0,256.0,White,2.95,Intel Core i3,,84180.46,,4.7
Dell,15,13th Gen,16.0,512.0,Black,1.99,AMD Ryzen 5,,199541.64,27.33,4.2
Lenovo,14,13th Gen,4.0,1024.0,Grey,1.77,Intel Core i7,,81973.67,15.49,3.6
Hp,16,13th Gen,12.0,1024.0,Black,1.52,Intel Core i7,,117508.58,,4.3
Acer,VivoBook,10th Gen,4.0,512.0,Grey,2.98,AMD Ryzen 5,,37031.09,,4.3
Dell,X1,13th Gen,32.0,512.0,Blue,2.81,AMD Ryzen 5,,51618.57,,4.8
Asus,VivoBook,11th Gen,4.0,256.0,Silver,1.6,AMD Ryzen 3,,98120.68,29.37,4.4
Acer,X1,13th Gen,4.0,1024.0,Grey,2.55,Intel Core i5,343.5,94759.0,,3.1
Hp,14,13th Gen,32.0,256.0,White,1.21,AMD Ryzen 7,,77603.62,41.75,2.9
Acer,VivoBook,12th Gen,16.0,512.0,Silver,2.55,Intel Core i3,425.16,59402.52,5.83,2.5
Hp,15,13th Gen,32.0,512.0,Blue,2.43,AMD Ryzen 7,547.01,39719.68,34.79,3.5
Asus,Inspiron,10th Gen,16.0,1024.0,Blue,2.08,AMD Ryzen 5,,156869.25,8.62,3.2
Dell,15,11th Gen,32.0,256.0,Grey,2.96,Intel Core i3,,163772.61,43.81,3.1
Acer,Inspiron,10th Gen,12.0,1024.0,Blue,2.35,AMD Ryzen 7,382.73,28656.89,,2.8
Hp,X1,11th Gen,32.0,256.0,White,2.18,AMD Ryzen 3,,103626.9,9.08,3.1
Asus,X1,12th Gen,4.0,256.0,Grey,2.66,Intel Core i7,,143780.99,32.41,3.7
Hp,16,13th Gen,8.0,1024.0,White,2.88,,,193611.61,,4.7
Dell,15,11th Gen,32.0,1024.0,Black,1.47,Intel Core i3,,175039.97,,2.8
Hp,16,10th Gen,4.0,256.0,Blue,1.76,AMD Ryzen 3,,36884.51,,4.6
Acer,X1,11th Gen,16.0,256.0,Silver,2.04,AMD Ryzen 5,,81719.95,,4.6
Dell,15,11th Gen,32.0,256.0,White,1.66,AMD Ryzen 5,477.03,58779.78,16.5,3.3
Lenovo,VivoBook,13th Gen,16.0,512.0,White,2.23,Intel Core i5,458.66,32390.78,31.68,3.5
Lenovo,Inspiron,13th Gen,12.0,512.0,Silver,2.86,AMD Ryzen 7,,193282.22,,3.5
Hp,VivoBook,13th Gen,16.0,512.0,White,1.8,Intel Core i7,646.16,179927.38,,3.5
Hp,X1,12th Gen,32.0,512.0,Black,2.42,AMD Ryzen 3,297.69,32304.15,,2.6
Acer,VivoBook,12th Gen,16.0,1024.0,Silver,2.54,Intel Core i7,112.56,174241.62,,4.0
Asus,14,12th Gen,12.0,1024.0,Black,1.58,AMD Ryzen 5,641.59,183409.58,6.19,3.0
Asus,15,10th Gen,32.0,256.0,Black,1.4,Intel Core i5,,109998.43,,2.6
Asus,16,11th Gen,12.0,512.0,Grey,1.73,AMD Ryzen 5,479.12,72209.74,,4.1
Lenovo,16,10th Gen,16.0,256.0,White,1.43,AMD Ryzen 3,928.5,129735.56,34.9,2.5
Hp,15,12th Gen,4.0,256.0,Silver,1.78,AMD Ryzen 3,,49880.65,0.84,3.8
Acer,Inspiron,13th Gen,12.0,1024.0,Silver,2.74,Intel Core i7,,142171.82,,4.2
Dell,16,10th Gen,4.0,256.0,Silver,2.69,AMD Ryzen 7,,195762.86,,3.0
Acer,X1,10th Gen,16.0,256.0,Grey,2.32,Intel Core i5,,106746.92,15.41,4.7
Hp,Inspiron,13th Gen,32.0,256.0,Blue,2.56,Intel Core i5,199.22,87003.08,,4.0
Acer,X1,12th Gen,4.0,256.0,White,2.66,AMD Ryzen 7,,147193.18,28.82,4.8
Asus,Inspiron,12th Gen,4.0,256.0,Grey,1.29,AMD Ryzen 7,,72259.11,48.32,4.7
Dell,X1,13th Gen,16.0,1024.0,Blue,1.39,Intel Core i3,,89162.16,25.19,4.3
Asus,VivoBook,10th Gen,8.0,1024.0,Blue,1.72,AMD Ryzen 5,,137641.37,27.28,3.1
Dell,14,11th Gen,16.0,512.0,Blue,1.26,Intel Core i5,286.97,175936.01,,4.2
Acer,VivoBook,10th Gen,8.0,512.0,White,2.45,Intel Core i3,639.5,76021.55,,4.2
Asus,Inspiron,10th Gen,8.0,512.0,Grey,2.77,AMD Ryzen 5,,80031.52,7.22,2.9
Hp,14,10th Gen,16.0,512.0,Blue,1.35,AMD Ryzen 5,171.47,70560.64,22.34,3.0
Acer,16,11th Gen,16.0,512.0,Blue,2.22,Intel Core i7,953.77,127896.03,8.49,3.3
Hp,Inspiron,13th Gen,8.0,256.0,White,2.87,Intel Core i5,,87418.98,26.4,4.4
Lenovo,14,12th Gen,32.0,256.0,Grey,2.57,Intel Core i7,,164402.84,,3.4
Dell,VivoBook,12th Gen,16.0,512.0,Black,1.66,Intel Core i3,396.21,126421.6,8.91,3.0
Asus,Inspiron,11th Gen,4.0,512.0,Silver,2.61,Intel Core i5,,150007.24,39.93,2.6
Dell,VivoBook,12th Gen,32.0,512.0,Blue,1.65,AMD Ryzen 3,,194303.3,,4.1
Acer,16,10th Gen,16.0,512.0,Silver,2.35,AMD Ryzen 5,,108373.38,,3.7
